study_db_id,season,germplasm_db_id,germplasmName,observation_unit_db_id,observation_unit_name,rep,block,plot,row,column,observation_variable_name,value,project_id,file_name,download_url,studyName
10765.0,2022.0,1483801.0,Pio 25R74,1593868.0,Jessica_2022_WARVA_115,1.0,1.0,115.0,4.0,79.0,Grain yield - kg/ha|CO_321:0001218,5184.43400064191,,,,Jessica_2022_WARVA
10765.0,2022.0,220541.0,IL07-19334,1593974.0,Jessica_2022_WARVA_158,1.0,1.0,158.0,5.0,71.0,Grain yield - kg/ha|CO_321:0001218,5824.78675826,,,,Jessica_2022_WARVA
10765.0,2022.0,1451207.0,IL16LCSDH-09-T-2664-20,1593957.0,Jessica_2022_WARVA_161,1.0,1.0,161.0,5.0,74.0,Grain yield - kg/ha|CO_321:0001218,4509.01060308218,,,,Jessica_2022_WARVA
10765.0,2022.0,1451198.0,IL16LCSDH-04-T-2659-216,1593828.0,Jessica_2022_WARVA_205,2.0,2.0,205.0,6.0,59.0,Grain yield - kg/ha|CO_321:0001218,5808.68135708509,,,,Jessica_2022_WARVA
10765.0,2022.0,1483801.0,Pio 25R74,1593786.0,Jessica_2022_WARVA_221,2.0,2.0,221.0,7.0,64.0,Grain yield - kg/ha|CO_321:0001218,5381.31124117262,,,,Jessica_2022_WARVA
10765.0,2022.0,1451207.0,IL16LCSDH-09-T-2664-20,1593979.0,Jessica_2022_WARVA_226,2.0,2.0,226.0,7.0,69.0,Grain yield - kg/ha|CO_321:0001218,5198.20637641298,,,,Jessica_2022_WARVA
10765.0,2022.0,1055682.0,IL16-8048,1594004.0,Jessica_2022_WARVA_232,2.0,2.0,232.0,7.0,75.0,Grain yield - kg/ha|CO_321:0001218,5117.10238576113,,,,Jessica_2022_WARVA
10765.0,2022.0,1451240.0,IL16LCSDH-04-T-2659-3,1593943.0,Jessica_2022_WARVA_238,2.0,2.0,238.0,7.0,81.0,Grain yield - kg/ha|CO_321:0001218,5371.97913955725,,,,Jessica_2022_WARVA
10765.0,2022.0,227860.0,IL12-26004,1593958.0,Jessica_2022_WARVA_24,1.0,1.0,24.0,1.0,77.0,Grain yield - kg/ha|CO_321:0001218,4327.29802767646,,,,Jessica_2022_WARVA
10765.0,2022.0,1451399.0,IL16LCSDH-06-T-2661-17,1594084.0,Jessica_2022_WARVA_251,2.0,2.0,251.0,8.0,83.0,Grain yield - kg/ha|CO_321:0001218,3811.51932502697,,,,Jessica_2022_WARVA
10765.0,2022.0,220541.0,IL07-19334,1594045.0,Jessica_2022_WARVA_261,2.0,2.0,261.0,8.0,73.0,Grain yield - kg/ha|CO_321:0001218,5953.60488136464,,,,Jessica_2022_WARVA
10765.0,2022.0,1451397.0,IL16LCSDH-09-T-2664-28,1593867.0,Jessica_2022_WARVA_315,2.0,2.0,315.0,9.0,88.0,Grain yield - kg/ha|CO_321:0001218,5057.39700445849,,,,Jessica_2022_WARVA
10765.0,2022.0,227860.0,IL12-26004,1594102.0,Jessica_2022_WARVA_326,2.0,2.0,326.0,10.0,78.0,Grain yield - kg/ha|CO_321:0001218,4179.50212265777,,,,Jessica_2022_WARVA
10765.0,2022.0,1451267.0,IL16LCSDH-08-T-2663-55,1593809.0,Jessica_2022_WARVA_33,1.0,1.0,33.0,1.0,86.0,Grain yield - kg/ha|CO_321:0001218,5313.07651968389,,,,Jessica_2022_WARVA
10765.0,2022.0,1451399.0,IL16LCSDH-06-T-2661-17,1593950.0,Jessica_2022_WARVA_39,1.0,1.0,39.0,2.0,85.0,Grain yield - kg/ha|CO_321:0001218,3865.50685087721,,,,Jessica_2022_WARVA
10765.0,2022.0,1451397.0,IL16LCSDH-09-T-2664-28,1593805.0,Jessica_2022_WARVA_44,1.0,1.0,44.0,2.0,80.0,Grain yield - kg/ha|CO_321:0001218,5412.36807396785,,,,Jessica_2022_WARVA
10765.0,2022.0,1055682.0,IL16-8048,1593757.0,Jessica_2022_WARVA_59,1.0,1.0,59.0,2.0,65.0,Grain yield - kg/ha|CO_321:0001218,5188.39763519898,,,,Jessica_2022_WARVA
10254.0,2025.0,1451499.0,MI23R181,1474289.0,25_MSU_AYT_Regional_HENKY_669039,1.0,1.0,101.0,1.0,1.0,Grain yield - kg/ha|CO_321:0001218,7132.64106,,,,25_MSU_AYT_Regional_HENKY
10254.0,2025.0,1451285.0,MI23R020,1474271.0,25_MSU_AYT_Regional_HENKY_669026,1.0,1.0,102.0,1.0,2.0,Grain yield - kg/ha|CO_321:0001218,6246.94539,,,,25_MSU_AYT_Regional_HENKY
10254.0,2025.0,1387429.0,P25R64,1474259.0,25_MSU_AYT_Regional_HENKY_669021,1.0,1.0,103.0,1.0,3.0,Grain yield - kg/ha|CO_321:0001218,6634.98366,,,,25_MSU_AYT_Regional_HENKY
10254.0,2025.0,1451487.0,MI23R090,1474285.0,25_MSU_AYT_Regional_HENKY_669031,1.0,1.0,104.0,1.0,4.0,Grain yield - kg/ha|CO_321:0001218,6111.77088,,,,25_MSU_AYT_Regional_HENKY
10254.0,2025.0,1451543.0,MI23R032,1474278.0,25_MSU_AYT_Regional_HENKY_669027,1.0,2.0,106.0,1.0,6.0,Grain yield - kg/ha|CO_321:0001218,5879.08242,,,,25_MSU_AYT_Regional_HENKY
10254.0,2025.0,1451259.0,MI23R126,1474242.0,25_MSU_AYT_Regional_HENKY_669034,1.0,2.0,107.0,1.0,7.0,Grain yield - kg/ha|CO_321:0001218,6437.93823,,,,25_MSU_AYT_Regional_HENKY
10254.0,2025.0,1445231.0,MI22R097,1474298.0,25_MSU_AYT_Regional_HENKY_669024,1.0,2.0,108.0,1.0,8.0,Grain yield - kg/ha|CO_321:0001218,6797.73108,,,,25_MSU_AYT_Regional_HENKY
10254.0,2025.0,1445488.0,MI22R057,1474283.0,25_MSU_AYT_Regional_HENKY_669023,1.0,3.0,109.0,1.0,9.0,Grain yield - kg/ha|CO_321:0001218,7581.87774,,,,25_MSU_AYT_Regional_HENKY
10254.0,2025.0,1451199.0,MI23R065,1474265.0,25_MSU_AYT_Regional_HENKY_669028,1.0,3.0,110.0,1.0,10.0,Grain yield - kg/ha|CO_321:0001218,7047.9048,,,,25_MSU_AYT_Regional_HENKY
